Player,Position,Injuries,Practice Status,Game Status,Year,Period
Demetress Bell,T,Shoulder,Limited Participation in Practice,Questionable,2011,REG11
Rian Lindell,K,Shoulder,Did Not Participate In Practice,Out,2011,REG11
Nolan Carroll,CB,Hamstring,Full Participation in Practice,Probable,2011,REG11
Anthony Fasano,TE,Ankle,Limited Participation in Practice,Questionable,2011,REG11
Dan Carpenter,K,right Groin,Limited Participation in Practice,Questionable,2011,REG11
Brandon Graham,DE,Knee,Full Participation in Practice,Questionable,2011,REG11
Jeremy Maclin,WR,"Shoulder, Hamstring",Did Not Participate In Practice,Questionable,2011,REG11
Mike Vick,QB,Ribs,Did Not Participate In Practice,Questionable,2011,REG11
Nate Allen,S,Concussion,Full Participation in Practice,Probable,2011,REG11
King Dunlap,T,Concussion,Did Not Participate In Practice,Out,2011,REG11
Evan Mathis,G,Toe,Full Participation in Practice,Probable,2011,REG11
Dominique Rodgers-Cromartie,CB,Ankle,Did Not Participate In Practice,Out,2011,REG11
Prince Amukamara,CB,Foot,Full Participation in Practice,Questionable,2011,REG11
Michael Boley,LB,Hamstring,Did Not Participate In Practice,Doubtful,2011,REG11
Jerrel Jernigan,WR,Hip,Full Participation in Practice,Probable,2011,REG11
Ahmad Bradshaw,RB,Foot,Did Not Participate In Practice,Out,2011,REG11
Osi Umenyiora,DE,Knee,Full Participation in Practice,Probable,2011,REG11
Justin Tuck,DE,Ankle,Did Not Participate In Practice,Questionable,2011,REG11
Mario Manningham,WR,Knee,Full Participation in Practice,Probable,2011,REG11
Aaron Ross,CB,Quadricep,Full Participation in Practice,Probable,2011,REG11
Will Beatty,T,Back,Limited Participation in Practice,Probable,2011,REG11
Kyle Kosier,G,Foot,Limited Participation in Practice,Questionable,2011,REG11
Sean Lee,LB,Wrist,Full Participation in Practice,Probable,2011,REG11
Mike Jenkins,CB,Hamstring,Did Not Participate In Practice,Out,2011,REG11
Mat McBriar,P,left Foot,Full Participation in Practice,Probable,2011,REG11
Felix Jones,RB,Ankle,Limited Participation in Practice,Questionable,2011,REG11
Tony Fiammetta,RB,Illness,Did Not Participate In Practice,Out,2011,REG11
Jon Kitna,QB,Back,Did Not Participate In Practice,Doubtful,2011,REG11
Miles Austin,WR,Hamstring,Did Not Participate In Practice,Out,2011,REG11
Maurice Hurt,G,Knee,Limited Participation in Practice,Questionable,2011,REG11
Logan Paulsen,TE,Shoulder,Full Participation in Practice,Probable,2011,REG11
Tashard Choice,RB,Hamstring,Full Participation in Practice,Probable,2011,REG11
Sean Locklear,T,Ankle,Limited Participation in Practice,Questionable,2011,REG11
Keyaron Fox,LB,Infection,Did Not Participate In Practice,Out,2011,REG11
Reed Doughty,S,Chest,Full Participation in Practice,Probable,2011,REG11
Jammal Brown,T,Groin,Limited Participation in Practice,Questionable,2011,REG11
London Fletcher,LB,Ankle,Limited Participation in Practice,Probable,2011,REG11
LaRon Landry,S,Achilles,Limited Participation in Practice,Questionable,2011,REG11
Niles Paul,WR,Toe,Did Not Participate In Practice,Out,2011,REG11
Oshiomogho Atogwe,S,"Toe, Knee",Full Participation in Practice,Probable,2011,REG11
Santana Moss,WR,Hand,,Out,2011,REG11
Andrew Hawkins,WR,Hamstring,Full Participation in Practice,Probable,2011,REG11
Donald Lee,TE,Foot,Did Not Participate In Practice,Doubtful,2011,REG11
Brian Leonard,RB,Knee,Full Participation in Practice,Probable,2011,REG11
Frostee Rucker,DE,Knee,Full Participation in Practice,Probable,2011,REG11
Jonathan Fanene,DE,Illness,Full Participation in Practice,Probable,2011,REG11
Carlos Dunlap,DE,Hamstring,Limited Participation in Practice,Questionable,2011,REG11
A.J. Green,WR,Knee,Did Not Participate In Practice,Doubtful,2011,REG11
Adam Jones,CB,Groin,Full Participation in Practice,Probable,2011,REG11
Chris Crocker,S,Knee,Full Participation in Practice,Probable,2011,REG11
Nate Clements,CB,Knee,Full Participation in Practice,Probable,2011,REG11
Kyle Cook,C,Foot,Full Participation in Practice,Probable,2011,REG11
Dontay Moch,LB,Illness,Full Participation in Practice,Probable,2011,REG11
Gibril Wilson,S,Ankle,Full Participation in Practice,Probable,2011,REG11
Ray Lewis,LB,Foot,Did Not Participate In Practice,Questionable,2011,REG11
Lee Evans,WR,Ankle,Limited Participation in Practice,Questionable,2011,REG11
Anthony Allen,RB,Thigh,Did Not Participate In Practice,Out,2011,REG11
Dannell Ellerbe,LB,Thigh,Full Participation in Practice,Questionable,2011,REG11
Arthur Jones,DT,Head,Did Not Participate In Practice,Out,2011,REG11
Matt Cassel,QB,right Hand,,Out,2011,REG11
Jon McGraw,S,Shoulder,Limited Participation in Practice,Questionable,2011,REG11
Brandon Flowers,CB,Back,Limited Participation in Practice,Questionable,2011,REG11
Brandon Carr,CB,Ankle,Limited Participation in Practice,Questionable,2011,REG11
Glenn Dorsey,DE,Knee,Limited Participation in Practice,Questionable,2011,REG11
Demorrio Williams,LB,Groin,,Out,2011,REG11
Gary Guyton,LB,Shoulder,Limited Participation in Practice,Questionable,2011,REG11
Devin McCourty,CB,Shoulder,Limited Participation in Practice,Doubtful,2011,REG11
Matthew Slater,WR,Shoulder,Limited Participation in Practice,Questionable,2011,REG11
Shaun Ellis,DE,Rib,Limited Participation in Practice,Questionable,2011,REG11
Jeff Tarpinian,LB,Illness,Limited Participation in Practice,Questionable,2011,REG11
BenJarvus Green-Ellis,RB,Toe,Limited Participation in Practice,Questionable,2011,REG11
Brian Waters,G,Knee,Limited Participation in Practice,Probable,2011,REG11
Dan Connolly,G,Groin,Limited Participation in Practice,Questionable,2011,REG11
Dane Fletcher,LB,Thumb,Did Not Participate In Practice,Out,2011,REG11
Brandon Spikes,LB,Knee,Did Not Participate In Practice,Out,2011,REG11
Kyle Arrington,CB,Foot,Limited Participation in Practice,Questionable,2011,REG11
Patrick Chung,S,Foot,Limited Participation in Practice,Questionable,2011,REG11
Kevin Faulk,RB,Knee,Limited Participation in Practice,Questionable,2011,REG11
Taylor Price,WR,Hamstring,Limited Participation in Practice,Questionable,2011,REG11
Nate Solder,T,Concussion,Limited Participation in Practice,Questionable,2011,REG11
James Ihedigbo,S,Shoulder,Limited Participation in Practice,Questionable,2011,REG11
Sebastian Vollmer,T,Back,Limited Participation in Practice,Questionable,2011,REG11
Wes Welker,WR,Knee,Limited Participation in Practice,Probable,2011,REG11
Greg Jennings,WR,Knee,Full Participation in Practice,Probable,2011,REG12
Marshall Newhouse,T,Knee,Full Participation in Practice,Probable,2011,REG12
Josh Sitton,G,Knee,Limited Participation in Practice,Probable,2011,REG12
James Starks,RB,"Knee, Ankle",Limited Participation in Practice,Questionable,2011,REG12
Chad Clifton,T,Hamstring,,Out,2011,REG12
Desmond Bishop,LB,Calf,Limited Participation in Practice,Probable,2011,REG12
Clay Matthews,LB,Ankle,Full Participation in Practice,Probable,2011,REG12
Frank Zombo,LB,Hamstring,Full Participation in Practice,Probable,2011,REG12
Ryan Donahue,P,right Quadricep,Did Not Participate In Practice,Out,2011,REG12
Chris Harris,S,Ankle,Limited Participation in Practice,Probable,2011,REG12
Jahvid Best,RB,Concussion,Did Not Participate In Practice,Out,2011,REG12
Maurice Morris,RB,Ankle,Full Participation in Practice,Probable,2011,REG12
Amari Spievey,S,Toe,Limited Participation in Practice,Probable,2011,REG12
Willie Young,DE,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Matthew Stafford,QB,right Finger,Full Participation in Practice,Probable,2011,REG12
Corey Williams,DT,Calf,Limited Participation in Practice,Questionable,2011,REG12
Maurice Stovall,WR,Shoulder,Limited Participation in Practice,Probable,2011,REG12
Rashied Davis,WR,Hamstring,Limited Participation in Practice,Probable,2011,REG12
Calvin Johnson,WR,Ankle,Limited Participation in Practice,Probable,2011,REG12
Lawrence Jackson,DE,Thigh,Did Not Participate In Practice,Doubtful,2011,REG12
DeAndre Levy,LB,Elbow,Limited Participation in Practice,Probable,2011,REG12
Igor Olshansky,DE,Calf,Limited Participation in Practice,Questionable,2011,REG12
Ryan Cook,C,Back,Limited Participation in Practice,Questionable,2011,REG12
Dan Carpenter,K,right Groin,Did Not Participate In Practice,Out,2011,REG12
Kyle Kosier,G,Foot,Limited Participation in Practice,Questionable,2011,REG12
Sean Lee,LB,Wrist,Full Participation in Practice,Probable,2011,REG12
Mike Jenkins,CB,Hamstring,Did Not Participate In Practice,Out,2011,REG12
Gerald Sensabaugh,S,Foot,Did Not Participate In Practice,Questionable,2011,REG12
Mat McBriar,P,left Foot,Full Participation in Practice,Probable,2011,REG12
Felix Jones,RB,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Tony Fiammetta,RB,Illness,Did Not Participate In Practice,Out,2011,REG12
Jon Kitna,QB,Back,Did Not Participate In Practice,Out,2011,REG12
Miles Austin,WR,Hamstring,Did Not Participate In Practice,Out,2011,REG12
Michael Crabtree,WR,Foot,Limited Participation in Practice,Probable,2011,REG12
Frank Gore,RB,Knee,Limited Participation in Practice,Probable,2011,REG12
Bruce Miller,RB,Concussion,Did Not Participate In Practice,Doubtful,2011,REG12
Braylon Edwards,WR,Knee,Limited Participation in Practice,Probable,2011,REG12
Chris Culliver,CB,Shoulder,Limited Participation in Practice,Probable,2011,REG12
Anthony Davis,T,Ankle,Limited Participation in Practice,Probable,2011,REG12
Ray Lewis,LB,Foot,Limited Participation in Practice,Questionable,2011,REG12
Anthony Allen,RB,Thigh,Full Participation in Practice,Questionable,2011,REG12
Chris Carr,CB,Back,Limited Participation in Practice,Questionable,2011,REG12
Dannell Ellerbe,LB,Thigh,Limited Participation in Practice,Questionable,2011,REG12
Arthur Jones,DT,Head,Did Not Participate In Practice,Out,2011,REG12
Haruki Nakamura,S,Thigh,Full Participation in Practice,Probable,2011,REG12
Brian Price,DT,Forearm,Full Participation in Practice,Probable,2011,REG12
Michael Bennett,DE,Groin,Did Not Participate In Practice,Doubtful,2011,REG12
Tanard Jackson,S,Hamstring,Did Not Participate In Practice,Questionable,2011,REG12
Jeremy Trueblood,T,Knee,Full Participation in Practice,Probable,2011,REG12
Dekoda Watson,LB,Groin,Did Not Participate In Practice,Questionable,2011,REG12
Albert Haynesworth,DT,Knee,Did Not Participate In Practice,Probable,2011,REG12
Adam Hayward,LB,Foot,Did Not Participate In Practice,Questionable,2011,REG12
David Stewart,T,Calf,Limited Participation in Practice,Questionable,2011,REG12
Derrick Morgan,DE,Ankle,Full Participation in Practice,Questionable,2011,REG12
Colin McCarthy,LB,Knee,Full Participation in Practice,Questionable,2011,REG12
Barrett Ruud,LB,Groin,Did Not Participate In Practice,Out,2011,REG12
Rob Bironas,K,Back,Limited Participation in Practice,Probable,2011,REG12
Eugene Amano,C,Hip,Full Participation in Practice,Probable,2011,REG12
Michael Roos,T,Groin,Full Participation in Practice,Questionable,2011,REG12
Matt Hasselbeck,QB,right Elbow,Full Participation in Practice,Probable,2011,REG12
Karl Klug,DT,Knee,Full Participation in Practice,Questionable,2011,REG12
Beanie Wells,RB,Knee,Full Participation in Practice,Probable,2011,REG12
Todd Heap,TE,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Paris Lenon,LB,Groin,Full Participation in Practice,Probable,2011,REG12
Kevin Kolb,QB,Toe,Limited Participation in Practice,Questionable,2011,REG12
Joey Porter,LB,Knee,Did Not Participate In Practice,Out,2011,REG12
Kerry Rhodes,S,Foot,Did Not Participate In Practice,Out,2011,REG12
LaRod Stephens-Howling,KR,Shoulder,Full Participation in Practice,Probable,2011,REG12
Darnell Dockett,DT,Groin,Full Participation in Practice,Probable,2011,REG12
Rob Housler,TE,Groin,Limited Participation in Practice,Questionable,2011,REG12
Michael Adams,CB,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Brandon Keith,T,Head,Did Not Participate In Practice,Questionable,2011,REG12
Lance Kendricks,TE,Head,Full Participation in Practice,Probable,2011,REG12
Justin King,CB,Knee,Full Participation in Practice,Probable,2011,REG12
Chris Long,DE,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Mark LeVoir,T,Pectoral,Did Not Participate In Practice,Out,2011,REG12
Josh Hull,LB,Hamstring,Did Not Participate In Practice,Out,2011,REG12
Austin Pettis,WR,Knee,Full Participation in Practice,Probable,2011,REG12
Danario Alexander,WR,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Justin Bannan,DT,Shoulder,Did Not Participate In Practice,Out,2011,REG12
James Laurinaitis,LB,Foot,Limited Participation in Practice,Questionable,2011,REG12
Cadillac Williams,RB,Calf,Limited Participation in Practice,Questionable,2011,REG12
Husain Abdullah,S,Concussion,Did Not Participate In Practice,Out,2011,REG12
Christian Ballard,DT,Hamstring,Full Participation in Practice,Probable,2011,REG12
Erin Henderson,LB,Hamstring,Full Participation in Practice,Probable,2011,REG12
Adrian Peterson,RB,Ankle,Did Not Participate In Practice,Doubtful,2011,REG12
Chris Cook,CB,Not Injury Related,,Out,2011,REG12
Jamarca Sanford,S,Shoulder,Full Participation in Practice,Probable,2011,REG12
Anthony Herrera,G,Knee,Limited Participation in Practice,Out,2011,REG12
Christian Ponder,QB,Knee,Full Participation in Practice,Probable,2011,REG12
Visanthe Shiancoe,TE,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Charlie Johnson,T,Achilles,Full Participation in Practice,Probable,2011,REG12
Percy Harvin,WR,Ribs,Limited Participation in Practice,Questionable,2011,REG12
Kyle Rudolph,TE,Quadricep,Did Not Participate In Practice,Doubtful,2011,REG12
Julio Jones,WR,Hamstring,Full Participation in Practice,Probable,2011,REG12
Todd McClure,C,Not Injury Related,Full Participation in Practice,Probable,2011,REG12
Justin Blalock,G,Ankle,Full Participation in Practice,Probable,2011,REG12
John Abraham,DE,Not Injury Related,Full Participation in Practice,Probable,2011,REG12
Brent Grimes,CB,Knee,Did Not Participate In Practice,Questionable,2011,REG12
Kelvin Hayden,CB,Toe,Did Not Participate In Practice,Out,2011,REG12
Sam Baker,T,Back,Full Participation in Practice,Questionable,2011,REG12
Tony Gonzalez,TE,Not Injury Related,Full Participation in Practice,Probable,2011,REG12
Curtis Lofton,LB,Ankle,Full Participation in Practice,Probable,2011,REG12
Vance Walker,DT,Groin,Limited Participation in Practice,Questionable,2011,REG12
William Moore,S,Quadricep,Full Participation in Practice,Probable,2011,REG12
Corey Peters,DT,Knee,Full Participation in Practice,Probable,2011,REG12
David Nelson,WR,Illness,Full Participation in Practice,Probable,2011,REG12
Naaman Roosevelt,WR,Shoulder,Did Not Participate In Practice,Out,2011,REG12
Fred Jackson,RB,Fibula,Did Not Participate In Practice,Out,2011,REG12
Steve Johnson,WR,Shoulder,Full Participation in Practice,Probable,2011,REG12
George Wilson,S,Neck,Did Not Participate In Practice,Out,2011,REG12
Terrence McGee,CB,Knee,Did Not Participate In Practice,Out,2011,REG12
Donald Jones,WR,Ankle,Did Not Participate In Practice,Out,2011,REG12
Demetress Bell,T,Shoulder,Full Participation in Practice,Probable,2011,REG12
Rian Lindell,K,Shoulder,Did Not Participate In Practice,Out,2011,REG12
Mike DeVito,DT,Knee,Full Participation in Practice,Probable,2011,REG12
Shonn Greene,RB,Rib,Full Participation in Practice,Probable,2011,REG12
Brodney Pool,S,Knee,Full Participation in Practice,Probable,2011,REG12
Marcus Dixon,DT,Shoulder,Full Participation in Practice,Probable,2011,REG12
Jeremy Kerley,KR,Knee,Did Not Participate In Practice,Questionable,2011,REG12
Mark Sanchez,QB,Neck,Full Participation in Practice,Probable,2011,REG12
David Harris,LB,Groin,Full Participation in Practice,Probable,2011,REG12
Bilal Powell,RB,Illness,Full Participation in Practice,Probable,2011,REG12
Matt Slauson,G,Knee,Full Participation in Practice,Probable,2011,REG12
LaDainian Tomlinson,RB,Knee,Did Not Participate In Practice,Questionable,2011,REG12
Kenrick Ellis,DT,Ankle,Full Participation in Practice,Probable,2011,REG12
D'Brickashaw Ferguson,T,Ankle,Full Participation in Practice,Probable,2011,REG12
Calvin Pace,LB,Groin,Full Participation in Practice,Probable,2011,REG12
Wayne Hunter,T,Hamstring,Full Participation in Practice,Probable,2011,REG12
Nick Mangold,C,Ankle,Full Participation in Practice,Probable,2011,REG12
Matthew Mulligan,TE,Hip,Full Participation in Practice,Probable,2011,REG12
Mister Alexander,LB,Shoulders,Limited Participation in Practice,Probable,2011,REG12
Earl Mitchell,DT,Ankle,Full Participation in Practice,Probable,2011,REG12
Antonio Smith,DE,Shoulder,Limited Participation in Practice,Probable,2011,REG12
DeMeco Ryans,LB,Shoulder,Full Participation in Practice,Probable,2011,REG12
Lawrence Vickers,RB,Hamstring,Did Not Participate In Practice,Questionable,2011,REG12
Tim Dobbins,LB,Hamstring,Full Participation in Practice,Probable,2011,REG12
Garrett Graham,TE,Hamstring,Did Not Participate In Practice,Doubtful,2011,REG12
Jason Allen,CB,Knee,Full Participation in Practice,Probable,2011,REG12
James Casey,RB,Chest,Full Participation in Practice,Probable,2011,REG12
Owen Daniels,TE,Knee,Full Participation in Practice,Probable,2011,REG12
Andre Johnson,WR,Hamstring,Full Participation in Practice,Probable,2011,REG12
Bryan Braman,LB,Thigh,Full Participation in Practice,Probable,2011,REG12
Tim Bulman,DE,Calf,Did Not Participate In Practice,Questionable,2011,REG12
Danieal Manning,S,Ankle,Limited Participation in Practice,Probable,2011,REG12
Jesse Nading,DE,"Shoulder, Hip",Full Participation in Practice,Probable,2011,REG12
Terrance Knighton,DT,Ankle,Did Not Participate In Practice,Out,2011,REG12
John Chick,DE,Abdomen,Full Participation in Practice,Probable,2011,REG12
Brock Bolen,RB,Calf,Full Participation in Practice,Probable,2011,REG12
Aaron Kampman,DE,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Guy Whimper,T,Thigh,Full Participation in Practice,Probable,2011,REG12
Cecil Shorts,WR,Hamstring,Full Participation in Practice,Probable,2011,REG12
Brian Robiskie,WR,Hamstring,Full Participation in Practice,Probable,2011,REG12
Matt Roth,DE,Concussion,Did Not Participate In Practice,Out,2011,REG12
Maurice Hurt,G,Knee,Full Participation in Practice,Probable,2011,REG12
Donte' Stallworth,WR,Foot,Limited Participation in Practice,Questionable,2011,REG12
Sean Locklear,T,Ankle,Full Participation in Practice,Probable,2011,REG12
Keyaron Fox,LB,Infection,Full Participation in Practice,Probable,2011,REG12
Jammal Brown,T,Groin,Full Participation in Practice,Probable,2011,REG12
London Fletcher,LB,Ankle,Full Participation in Practice,Probable,2011,REG12
LaRon Landry,S,Achilles,Full Participation in Practice,Probable,2011,REG12
Niles Paul,WR,Toe,Limited Participation in Practice,Questionable,2011,REG12
DeJon Gomes,S,Knee,Full Participation in Practice,Probable,2011,REG12
Santana Moss,WR,Hand,Full Participation in Practice,Probable,2011,REG12
Trent Williams,T,Knee,Full Participation in Practice,Probable,2011,REG12
Josh Wilson,CB,Hamstring,Full Participation in Practice,Probable,2011,REG12
Sidney Rice,WR,Knee,Full Participation in Practice,Probable,2011,REG12
Ben Obomanu,WR,"Knee, Ankle",Full Participation in Practice,Probable,2011,REG12
Atari Bigby,S,Hamstring,Full Participation in Practice,Probable,2011,REG12
Anthony Hargrove,DT,Hamstring,Full Participation in Practice,Probable,2011,REG12
Byron Maxwell,CB,Ankle,Did Not Participate In Practice,Questionable,2011,REG12
Tarvaris Jackson,QB,Pectoral,Full Participation in Practice,Probable,2011,REG12
Alan Branch,DT,Ankle,Did Not Participate In Practice,Questionable,2011,REG12
Brandon Meriweather,S,Concussion,Full Participation in Practice,Probable,2011,REG12
D.J. Moore,CB,Ankle,Did Not Participate In Practice,Doubtful,2011,REG12
Devin Hester,WR,Shin,Did Not Participate In Practice,Probable,2011,REG12
Jay Cutler,QB,right Thumb,,Out,2011,REG12
Jacoby Ford,WR,Foot,Did Not Participate In Practice,Out,2011,REG12
Mike Mitchell,S,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Denarius Moore,WR,Foot,Did Not Participate In Practice,Questionable,2011,REG12
Lamarr Houston,DE,Knee,Limited Participation in Practice,Questionable,2011,REG12
Taiwan Jones,RB,Hamstring,Did Not Participate In Practice,Questionable,2011,REG12
Samson Satele,C,Concussion,Full Participation in Practice,Probable,2011,REG12
Michael Huff,S,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Jarvis Moss,DE,Hamstring,Did Not Participate In Practice,Out,2011,REG12
Richard Seymour,DT,Knee,Limited Participation in Practice,Questionable,2011,REG12
Manase Tonga,RB,Knee,Limited Participation in Practice,Questionable,2011,REG12
Darren McFadden,RB,Foot,Did Not Participate In Practice,Out,2011,REG12
Jason Campbell,QB,Collarbone,Did Not Participate In Practice,Out,2011,REG12
Chris Johnson,CB,"Hamstring, Groin",Limited Participation in Practice,Questionable,2011,REG12
Darrius Heyward-Bey,WR,Neck,Limited Participation in Practice,Questionable,2011,REG12
James Harrison,LB,Back,Limited Participation in Practice,Probable,2011,REG12
Ben Roethlisberger,QB,right Thumb,Full Participation in Practice,Probable,2011,REG12
Troy Polamalu,S,Ribs,Full Participation in Practice,Probable,2011,REG12
LaMarr Woodley,LB,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Emmanuel Sanders,WR,Knee,Full Participation in Practice,Probable,2011,REG12
Arnaz Battle,WR,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Stevenson Sylvester,LB,Calf,Did Not Participate In Practice,Questionable,2011,REG12
Ryan Lilja,G,Head,,Out,2011,REG12
Jon McGraw,S,Shoulder,Full Participation in Practice,Questionable,2011,REG12
Glenn Dorsey,DE,Knee,Full Participation in Practice,Questionable,2011,REG12
Demorrio Williams,LB,Groin,Full Participation in Practice,Questionable,2011,REG12
Daniel Fells,TE,Concussion,Full Participation in Practice,Probable,2011,REG12
Brian Dawkins,S,Ankle,Full Participation in Practice,Probable,2011,REG12
Cassius Vaughn,CB,Hamstring,Full Participation in Practice,Probable,2011,REG12
Willis McGahee,RB,Hand,Full Participation in Practice,Probable,2011,REG12
David Bruton,S,Achilles,Full Participation in Practice,Probable,2011,REG12
Julius Thomas,TE,Ankle,Full Participation in Practice,Probable,2011,REG12
Bront Bird,LB,Ankle,Full Participation in Practice,Probable,2011,REG12
Ryan Mathews,RB,Knee,Full Participation in Practice,Probable,2011,REG12
Marcus Gilchrist,CB,Hamstring,Full Participation in Practice,Questionable,2011,REG12
Luis Castillo,DE,Tibia,Did Not Participate In Practice,Out,2011,REG12
Shaun Phillips,LB,Foot,Full Participation in Practice,Questionable,2011,REG12
Malcom Floyd,WR,Hip,Did Not Participate In Practice,Out,2011,REG12
Jacques Cesaire,DE,Knee,Full Participation in Practice,Probable,2011,REG12
Louis Vasquez,G,Ankle,Did Not Participate In Practice,Doubtful,2011,REG12
Antonio Gates,TE,Not Injury Related,Full Participation in Practice,Probable,2011,REG12
Marcus McNeill,T,Neck,Did Not Participate In Practice,Out,2011,REG12
Tyronne Green,G,Hand,Did Not Participate In Practice,Doubtful,2011,REG12
Jayme Mitchell,DE,Ankle,Did Not Participate In Practice,Questionable,2011,REG12
Quinton Spears,LB,Hamstring,Did Not Participate In Practice,Out,2011,REG12
Benjamin Watson,TE,Elbow,Full Participation in Practice,Probable,2011,REG12
Montario Hardesty,RB,Calf,Limited Participation in Practice,Questionable,2011,REG12
Brian Schaefering,DT,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Emmanuel Stephens,DE,Foot,Full Participation in Practice,Probable,2011,REG12
Colt McCoy,QB,right Shoulder,Full Participation in Practice,Probable,2011,REG12
Peyton Hillis,RB,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
Tony Pashos,T,Ankle,Did Not Participate In Practice,Questionable,2011,REG12
T.J. Ward,S,"Foot, Finger",Did Not Participate In Practice,Out,2011,REG12
Auston English,LB,Knee,Full Participation in Practice,Probable,2011,REG12
Owen Marecic,RB,Head,Did Not Participate In Practice,Questionable,2011,REG12
Shawn Lauvao,G,Knee,Full Participation in Practice,Probable,2011,REG12
Jabaal Sheard,DE,Thigh,Full Participation in Practice,Probable,2011,REG12
Brandon Ghee,CB,Groin,Full Participation in Practice,Probable,2011,REG12
Michael Johnson,DE,Shoulder,Limited Participation in Practice,Probable,2011,REG12
Donald Lee,TE,Foot,Limited Participation in Practice,Doubtful,2011,REG12
Vincent Rey,LB,Hamstring,Limited Participation in Practice,Probable,2011,REG12
Domata Peko Sr.,DT,Foot,Limited Participation in Practice,Probable,2011,REG12
Carlos Dunlap,DE,Hamstring,Did Not Participate In Practice,Doubtful,2011,REG12
A.J. Green,WR,Knee,Full Participation in Practice,Probable,2011,REG12
Andrew Whitworth,T,Thigh,Full Participation in Practice,Probable,2011,REG12
Adam Jones,CB,Groin,Limited Participation in Practice,Probable,2011,REG12
Chris Crocker,S,Knee,Full Participation in Practice,Probable,2011,REG12
Nate Clements,CB,Knee,Full Participation in Practice,Probable,2011,REG12
Dontay Moch,LB,Not Injury Related,Did Not Participate In Practice,Probable,2011,REG12
Andy Dalton,QB,right Shoulder,Full Participation in Practice,Probable,2011,REG12
Deion Branch,WR,Hip,Limited Participation in Practice,Questionable,2011,REG12
Gary Guyton,LB,Shoulder,Limited Participation in Practice,Questionable,2011,REG12
Devin McCourty,CB,Shoulder,Limited Participation in Practice,Questionable,2011,REG12
Matthew Slater,WR,Shoulder,Limited Participation in Practice,Questionable,2011,REG12
Chad Johnson,WR,Hamstring,Did Not Participate In Practice,Questionable,2011,REG12
Brian Waters,G,Knee,Limited Participation in Practice,Probable,2011,REG12
Dan Connolly,G,Groin,Limited Participation in Practice,Questionable,2011,REG12
Dane Fletcher,LB,Thumb,Did Not Participate In Practice,Out,2011,REG12
Matt Light,T,Ankle,Limited Participation in Practice,Questionable,2011,REG12
Brandon Spikes,LB,Knee,Did Not Participate In Practice,Out,2011,REG12
Patrick Chung,S,Foot,Limited Participation in Practice,Questionable,2011,REG12
Taylor Price,WR,Hamstring,Limited Participation in Practice,Questionable,2011,REG12
James Ihedigbo,S,Shoulder,Limited Participation in Practice,Questionable,2011,REG12
Sebastian Vollmer,T,Back,Limited Participation in Practice,Questionable,2011,REG12
Wes Welker,WR,Knee,Limited Participation in Practice,Probable,2011,REG12
Jeremy Maclin,WR,"Hamstring, Shoulder",Did Not Participate In Practice,Doubtful,2011,REG12
Mike Vick,QB,Ribs,Did Not Participate In Practice,Questionable,2011,REG12
Nnamdi Asomugha,CB,Knee,Did Not Participate In Practice,Questionable,2011,REG12
King Dunlap,T,Concussion,Did Not Participate In Practice,Out,2011,REG12
Dominique Rodgers-Cromartie,CB,Ankle,Limited Participation in Practice,Questionable,2011,REG12
DeSean Jackson,WR,Foot,Limited Participation in Practice,Probable,2011,REG12
Omar Gaither,LB,Knee,Did Not Participate In Practice,Doubtful,2011,REG12
James Anderson,LB,Ankle,Full Participation in Practice,Probable,2011,REG12
Jason Phillips,LB,Calf,Limited Participation in Practice,Questionable,2011,REG12
Legedu Naanee,WR,Ankle,Did Not Participate In Practice,Questionable,2011,REG12
Charles Johnson,DE,Shoulder,Full Participation in Practice,Probable,2011,REG12
Dan Connor,LB,Shoulder,Full Participation in Practice,Probable,2011,REG12
Joe Reitz,G,Knee,Did Not Participate In Practice,Doubtful,2011,REG12
Joseph Addai,RB,Hamstring,Full Participation in Practice,Questionable,2011,REG12
Brody Eldridge,TE,Hand,Did Not Participate In Practice,Questionable,2011,REG12
Stevie Brown,CB,Hamstring,Full Participation in Practice,Questionable,2011,REG12
Peyton Manning,QB,Neck,,Out,2011,REG12
Dallas Clark,TE,Fibula,,Out,2011,REG12
Anthony Gonzalez,WR,Groin,Limited Participation in Practice,Questionable,2011,REG12
Adrian Moten,LB,Not Injury Related,Did Not Participate In Practice,Questionable,2011,REG12
Drake Nevis,DT,Back,Did Not Participate In Practice,Questionable,2011,REG12
Terrence Johnson,CB,Ankle,Full Participation in Practice,Questionable,2011,REG12
D.J. Ware,RB,Concussion,Full Participation in Practice,Probable,2011,REG12
